dist,ran,num,pos,ovr_btn,btn,age,lbs,or,rpr
3,14,11,6,19,0.5,8,149,102,96
3,14,14,7,25,6,6,142,95,85
3,14,13,8,26.75,1.75,5,143,96,82
3,14,8,9,34.75,8,7,154,107,85
3,14,7,10,47.75,13,6,155,108,73
3,14,10,11,65.75,18,6,152,105,52
3,14,5,12,67,1.25,5,158,111,67
3,14,12,13,85,18,6,148,101,59
3,14,1,14,115,30,7,166,118,0
3,11,6,1,0,0,11,154,120,130
3,11,5,2,8,8,10,150,121,125
3,11,9,3,19,11,8,148,114,110
3,11,4,4,33,14,9,156,122,106
3,11,10,5,43,10,10,143,109,76
3,11,3,6,47,4,10,160,126,99
3,11,11,0,0,0,13,140,106,0
3,11,7,0,0,0,11,152,118,0
3,11,2,0,0,0,9,161,127,0
3,11,8,0,0,0,10,149,115,0
3,11,1,0,0,0,6,164,130,0
2,18,6,1,0,0,5,152,0,125
2,18,13,2,2.5,2.5,5,152,0,123
2,18,16,3,5,2.5,5,152,0,120
2,18,9,4,19,14,6,152,0,110
2,18,8,5,20.75,1.75,5,152,0,104
2,18,11,6,23.25,2.5,5,152,0,103
2,18,1,7,28.25,5,5,158,117,109
2,18,10,8,51.25,23,6,152,0,74
2,18,15,9,52.75,1.5,7,152,0,72
2,18,12,10,53.25,0.5,6,152,0,72
2,18,3,11,54.25,1,7,152,0,81
2,18,2,12,65.25,11,5,149,0,60
2,18,7,13,71.25,6,9,147,0,54
2,18,18,14,101.25,30,7,147,0,0
2,18,5,15,109.25,8,6,152,0,0
2,18,14,0,0,0,6,152,0,0
2,18,4,0,0,0,5,147,0,0
2,18,17,0,0,0,5,140,0,0
2,7,6,1,0,0,5,156,0,116
2,7,1,2,0.3,0.3,10,161,0,122
2,7,2,3,12.25,12,6,161,124,111
2,7,7,4,13.75,1.5,5,156,0,102
2,7,5,5,24.75,11,8,157,75,92
2,7,4,6,32.75,8,8,152,0,84
2,7,3,7,36.75,4,10,157,0,80
25,14,3,1,0,0,5,158,0,116
25,14,10,2,1.5,1.5,5,152,0,108
25,14,2,3,4,2.5,5,158,102,111
25,14,4,4,33,29,5,152,0,83
25,14,12,5,50,17,6,147,0,59
25,14,8,6,58,8,8,152,89,51
25,14,6,7,60,2,6,152,0,49
25,14,5,8,60,0.1,6,152,0,49
25,14,13,9,66,6,6,147,0,38
25,14,9,0,0,0,7,152,69,0
25,14,14,0,0,0,6,147,0,0
25,14,7,0,0,0,7,152,0,0
25,14,11,0,0,0,6,152,0,0
25,14,1,0,0,0,5,158,0,0
24,11,9,1,0,0,7,143,90,120
24,11,10,2,12,12,9,142,89,99
24,11,1,3,20,8,6,166,113,116
24,11,7,4,24,4,8,146,93,91
24,11,3,5,27,3,6,159,106,100
24,11,8,6,41,14,8,144,91,76
24,11,4,,0,0,9,157,104,0
24,11,11,,0,0,8,140,87,0
24,11,2,,0,0,5,159,115,0
24,11,5,0,0,0,8,149,96,0
24,11,6,0,0,0,8,147,94,0
3,9,3,1,0,0,10,153,113,139
3,9,1,2,9,9,9,166,121,137
3,9,6,3,15,6,8,154,109,118
3,9,2,4,16.25,1.25,8,163,118,127
3,9,4,5,20.25,4,7,157,112,115
3,9,9,6,27.25,7,12,151,106,108
3,9,7,7,47.25,20,9,154,109,100
3,9,5,0,0,0,11,155,110,0
3,9,8,0,0,0,9,151,106,0
3,14,3,1,0,0,10,162,113,128
3,14,13,2,5,5,14,135,92,98
3,14,7,3,18,13,8,156,107,101
3,14,8,4,19.25,1.25,7,155,106,99
3,14,2,5,21.75,2.5,7,162,113,103
3,14,9,6,23,1.25,12,153,104,93
3,14,11,7,34,11,8,150,102,82
3,14,6,8,34.25,0.2,7,157,108,89
3,14,1,9,42.25,8,6,164,115,85
3,14,4,10,50.25,8,7,160,111,73
3,14,12,11,59.25,9,8,142,101,53
3,14,10,0,0,0,9,151,102,0
3,14,14,0,0,0,6,137,92,0
3,14,5,0,0,0,7,151,109,0
2,17,16,1,0,0,4,142,0,105
2,17,2,2,5,5,6,153,0,104
2,17,3,3,6.25,1.25,5,158,0,102
2,17,1,4,8.25,2,5,158,0,100
2,17,17,5,10,1.75,4,147,0,88
2,17,6,6,13.5,3.5,5,158,0,96
2,17,11,7,23.5,10,5,153,0,80
2,17,14,8,27,3.5,4,147,0,74
2,17,7,9,28,1,5,153,0,81
2,17,12,10,29.75,1.75,6,153,0,74
2,17,13,11,29.75,0.1,5,146,0,74
2,17,10,12,44.75,15,5,158,0,64
2,17,4,13,52.75,8,5,158,0,56
2,17,5,14,61.75,9,5,158,0,47
2,17,9,15,63.75,2,5,158,0,45
2,17,15,16,84.75,21,4,147,0,13
2,17,8,17,114.75,30,5,158,0,0
2,16,5,1,0,0,5,158,0,107
2,16,9,2,0.5,0.5,5,158,0,104
2,16,12,3,7.5,7,5,148,0,94
2,16,4,4,9,1.5,5,158,0,96
2,16,3,5,9.5,0.5,6,158,0,97
2,16,10,6,11.5,2,5,158,0,95
2,16,15,7,17.5,6,5,148,0,82
2,16,8,8,20.5,3,6,155,0,84
2,16,11,9,22.5,2,5,158,0,82
2,16,14,10,22.75,0.3,6,146,0,81
2,16,1,11,30.75,8,5,155,0,74
2,16,16,12,43.75,13,4,147,0,50
2,16,2,13,45.75,2,5,158,0,59
2,16,6,14,60.75,15,5,158,0,44
2,16,13,15,81.75,21,5,153,0,18
2,16,7,16,111.75,30,5,155,0,0
2,13,11,1,0,0,6,145,114,130
2,13,3,2,2,2,5,159,127,142
2,13,10,3,4.5,2.5,5,146,115,127
2,13,5,4,8,3.5,7,156,124,133
2,13,9,5,15,7,6,146,115,116
2,13,1,6,15.75,0.75,6,161,136,137
2,13,8,7,16.75,1,8,145,119,118
2,13,6,8,17.25,0.5,9,152,121,120
2,13,2,9,19.25,2,8,154,129,127
2,13,7,10,26.25,7,6,151,120,112
2,13,13,11,32.25,6,8,135,109,93
2,13,4,,0,0,5,158,126,0
2,13,12,0,0,0,5,137,109,0
24,13,6,1,0,0,9,156,121,147
24,13,10,2,17,17,11,152,112,120
24,13,13,3,23,6,8,140,100,100
24,13,9,4,29,6,8,154,114,108
24,13,4,5,51,22,10,162,122,94
24,13,12,6,67,16,13,144,104,60
24,13,1,BD,0,0,10,166,126,0
24,13,8,,0,0,7,155,115,0
24,13,7,0,0,0,9,156,116,0
24,13,2,0,0,0,7,165,125,0
24,13,5,0,0,0,8,162,122,0
24,13,11,0,0,0,9,152,112,0
24,13,3,0,0,0,8,162,122,0
