going,ran,num,pos,ovr_btn,btn,age,sex,lbs,time,secs,dec,or,rpr,jockey,trainer
Good,8,7,PU,-,-,3,G,152,-,-,51,–,–,Warren Marston,H M Kavanagh
Good,4,3,1,0,0,7,G,158,05:13.9,313.9,5.5,–,139,Timmy Murphy,Paul Nicholls
Good,4,1,2,7,7,5,G,161,05:15.3,315.3,10,–,130,Adrian Maguire,Mrs L C Taylor
Good,4,4,3,37,30,6,G,153,05:21.3,321.3,4.33,–,–,Jim Culloty,Henrietta Knight
Good,4,2,F,-,-,6,G,161,-,-,1.8,–,–,Paul Moloney,C Roche
Good,9,6,1,0,0,7,G,150,06:25.2,385.2,5,126,139,A P McCoy,M C Pipe
Good,9,3,2,1.25,1.25,7,G,166,06:25.4,385.45,2.38,142,153,Mick Fitzgerald,Philip Hobbs
Good,9,4,3,1.25,0.1,9,G,165,06:25.5,385.47,11,141,151,Warren Marston,Alan King
Good,9,5,4,4.25,3,7,G,155,06:26.1,386.05,8,131,139,Charlie Swan,A P OBrien
Good,9,1,5,12.25,8,7,G,165,06:27.7,387.65,34,144,145,Tom Scudamore,M C Pipe
Good,9,9,6,13.75,1.5,8,G,135,06:28.0,387.95,15,116,113,Lee Vickers,A Streeter
Good,9,7,7,23.75,10,6,G,143,06:30.0,389.95,34,122,109,David Dennis,Ian Williams
Good,9,8,8,53.75,30,6,G,145,06:36.0,395.95,7,121,–,Adrian Maguire,Ferdy Murphy
Good,9,2,F,-,-,5,G,166,-,-,12,142,–,Carl Llewellyn,Tom George
Good,10,5,1,0,0,8,M,153,07:04.2,424.2,5,137,147,Jim Culloty,Henrietta Knight
Good,10,1,2,0.5,0.5,8,G,164,07:04.3,424.3,8,148,158,Carl Llewellyn,Nigel Twiston-Davies
Good,10,2,3,5.5,5,10,G,162,07:05.3,425.3,7,146,149,Timmy Murphy,Paul Nicholls
Good,10,3,4,6.25,0.75,9,G,157,07:05.4,425.45,8,141,146,A P McCoy,M C Pipe
Good,10,4,5,7,0.75,10,G,154,07:05.6,425.6,15,138,140,B J Crowley,Venetia Williams
Good,10,6,6,13,6,7,G,144,07:06.8,426.8,5.5,128,124,Mick Fitzgerald,Nicky Henderson
Good,10,10,7,17,4,9,G,140,07:07.6,427.6,13,124,117,Adrian Maguire,Ferdy Murphy
Good,10,9,8,23,6,9,G,140,07:08.8,428.8,15,124,111,Leighton Aspell,Richard Rowe
Good,10,7,9,40,17,10,G,137,07:12.2,432.2,15,124,92,Benjamin Hitchcott,Bob Buckler
Good,10,8,UR,-,-,7,G,137,-,-,15,124,–,Tom Scudamore,Nigel Twiston-Davies
Good,20,10,1,0,0,5,M,148,03:57.4,237.4,7,90,116,A P McCoy,M C Pipe
Good,20,2,2,5,5,5,G,165,03:58.4,238.4,11,107,126,Jason Maguire,Tom George
Good,20,8,3,10,5,6,G,152,03:59.4,239.4,8,94,108,Graham Lee,Malcolm Jefferson
Good,20,12,4,12.5,2.5,5,H,147,03:59.9,239.9,21,90,100,X Aizpuru,Robin Dickin
Good,20,17,5,16,3.5,6,M,145,04:00.6,240.6,17,88,95,D Gallagher,David Arbuthnot
