class,age_band,dist_m,going,ran,num,horse,age,sex,lbs,jockey,trainer,or,rpr,pos
Class 4,3yo,1637,Good To Firm,8,7,Green Ocean (GB),3,F,121,Dean Mernagh,James Unett,–,17,5
Class 4,3yo,1637,Good To Firm,8,4,Myttons Magic (IRE),3,G,126,Joe Fanning,Alan Bailey,–,21,6
Class 4,3yo,1637,Good To Firm,8,6,Bow River Gold (GB),3,F,121,Micky Fenton,James Given,–,14,7
Class 4,3yo,1637,Good To Firm,8,8,Velocitys Image (IRE),3,F,121,John Carroll,Eric Alston,–,13,8
Class 5,3yo,1637,Good To Firm,16,9,Borrego (IRE),3,C,118,Kevin Darley,Clive Brittain,54,70,1
Class 5,3yo,1637,Good To Firm,16,3,Salinor (GB),3,C,130,Philip Robinson,A C Stewart,66,87,2
Class 5,3yo,1637,Good To Firm,16,15,Lark In The Park (IRE),3,F,110,Paul Quinn,Mark Brisbourne,46,52,3
Class 5,3yo,1637,Good To Firm,16,6,Jarraaf (GB),3,C,122,Robert Winston,James Unett,58,59,4
Class 5,3yo,1637,Good To Firm,16,2,Jeepstar (GB),3,G,131,Willie Supple,Tim Easterby,67,65,5
Class 5,3yo,1637,Good To Firm,16,8,Crown City (USA),3,F,119,Joe Fanning,Brian Baugh,55,51,6
Class 5,3yo,1637,Good To Firm,16,4,Dancing Forest (IRE),3,G,129,Royston Ffrench,Dean Ivory,65,59,7
Class 5,3yo,1637,Good To Firm,16,1,B A Highflyer (GB),3,G,133,Chris Catlin,Mick Channon,69,63,8
Class 5,3yo,1637,Good To Firm,16,7,White Park Bay (IRE),3,F,121,Darren Williams,John Quinn,57,48,9
Class 5,3yo,1637,Good To Firm,16,10,Commitment Lecture (GB),3,F,117,Adrian Nicholls,Michael Dods,53,43,10
Class 5,3yo,1637,Good To Firm,16,14,Gemini Lady (GB),3,F,112,Adrian McCarthy,Geraldine Rees,48,36,11
Class 5,3yo,1637,Good To Firm,16,16,Diagon Alley (IRE),3,G,110,J Bramhill,K W Hogg,46,30,12
Class 5,3yo,1637,Good To Firm,16,11,Sambucan Daze (IRE),3,G,117,Micky Fenton,James Bethell,53,36,13
Class 5,3yo,1637,Good To Firm,16,13,Youngs Forth (GB),3,F,113,Franny Norton,Tony Carroll,49,20,14
Class 5,3yo,1637,Good To Firm,16,5,Desert Rock (IRE),3,G,124,Kim Tinkler,Nigel Tinkler,60,29,15
Class 5,3yo,1637,Good To Firm,16,12,Victory Flip (IRE),3,F,116,Paul Hanagan,Reg Hollinshead,52,18,16
Class 4,2yo,1006,Good To Firm,8,5,Millbag (IRE),2,C,126,Tony Culhane,Mick Channon,–,88,1
Class 4,2yo,1006,Good To Firm,8,3,Green Manalishi (GB),2,C,126,Simon Whitworth,David Arbuthnot,75,81,2
Class 4,2yo,1006,Good To Firm,8,10,Island Spell (GB),2,F,116,P Bradley,Chris Grant,–,64,3
Class 4,2yo,1006,Good To Firm,8,11,Jilly Why (IRE),2,F,121,Angela Hartley,Ms Deborah J Evans,–,58,4
Class 4,2yo,1006,Good To Firm,8,1,Celadon (IRE),2,C,126,Darryll Holland,Jeremy Noseda,–,59,5
Class 4,2yo,1006,Good To Firm,8,9,Intimate Friend (USA),2,F,121,Joe Fanning,B W Hills,–,30,6
Class 4,2yo,1006,Good To Firm,8,4,Louis Prima (GB),2,C,119,Stevie Donohoe,Linda Perratt,–,15,7
Class 4,2yo,1006,Good To Firm,8,7,Comtake Dot Com (IRE),2,F,118,Dean Corby,S A Brookshaw,–,–,8
Class 3,3yo+,1207,Good To Firm,4,1,Seel Of Approval (GB),4,G,133,Darryll Holland,Roger Charlton,92,81,1
Class 3,3yo+,1207,Good To Firm,4,2,Proud Boast (GB),5,M,127,Tony Culhane,Geraldine Rees,95,70,2
Class 3,3yo+,1207,Good To Firm,4,4,Rosselli (USA),7,G,118,Stevie Donohoe,Alan Berry,46,53,3
Class 3,3yo+,1207,Good To Firm,4,5,Countrywide Dancer (IRE),3,F,115,P Bradley,Alan Berry,50,17,4
Class 3,3yo+,2373,Good To Firm,8,1,Kuster (GB),7,G,133,Nicky Mackay,Luca Cumani,88,96,1
Class 3,3yo+,2373,Good To Firm,8,3,Barman (USA),4,G,124,Kevin Darley,Paul Cole,74,82,2
Class 3,3yo+,2373,Good To Firm,8,4,Coolbythepool (GB),3,C,122,Joe Fanning,Mark Johnston,81,88,3
Class 3,3yo+,2373,Good To Firm,8,8,Classic Millennium (GB),5,M,105,Lisa Jones,Willie Musson,60,64,4
Class 3,3yo+,2373,Good To Firm,8,5,Blue Star (GB),7,G,122,Darryll Holland,Michael Mullineaux,72,74,5
Class 3,3yo+,2373,Good To Firm,8,2,Reveillez (GB),4,G,137,Oscar Urbina,James Fanshawe,87,89,6
Class 3,3yo+,2373,Good To Firm,8,6,Tbm Can (GB),4,G,113,Neil Chalmers,Mark Brisbourne,68,68,7
Class 3,3yo+,2373,Good To Firm,8,7,Mexican Pete (GB),3,G,112,David Allan,Peter Hiatt,74,71,8
Class 3,3yo+,1637,Good To Firm,8,2,Camelot I (GB),4,G,135,Darryll Holland,Luca Cumani,85,96,1
Class 3,3yo+,1637,Good To Firm,8,1,Summer View (USA),6,G,140,Fergal Lynch,Roger Charlton,90,98,2
Class 3,3yo+,1637,Good To Firm,8,8,Salinor (GB),3,C,115,Royston Ffrench,A C Stewart,70,77,3
Class 3,3yo+,1637,Good To Firm,8,6,Hills Of Gold I (GB),4,G,117,George Duffield,Michael Easterby,67,68,4
Class 3,3yo+,1637,Good To Firm,8,3,Topton (IRE),9,G,132,Robert Winston,Paul Howling,82,79,5
Class 3,3yo+,1637,Good To Firm,8,7,Rose Of America (GB),5,M,110,Nicky Mackay,Linda Perratt,65,61,6
Class 3,3yo+,1637,Good To Firm,8,5,Sarraaf (IRE),7,G,118,Paul Hanagan,Ian Semple,68,60,7
Class 3,3yo+,1637,Good To Firm,8,4,Adobe (GB),8,G,118,Mark Savage,Mark Brisbourne,73,56,8
Class 5,2yo,1637,Good To Firm,5,2,PenzanceI (GB),2,C,126,Oscar Urbina,James Fanshawe,–,72,1
Class 5,2yo,1637,Good To Firm,5,6,Lady Bahia (IRE),2,F,116,Nicky Mackay,R P Elliott,–,64,2
Class 5,2yo,1637,Good To Firm,5,5,Cazisa Star (USA),2,F,116,P Bradley,P W Harris,–,46,3
Class 5,2yo,1637,Good To Firm,5,4,Young Patriarch (GB),2,C,126,Kevin Darley,John Dunlop,–,51,4
Class 5,2yo,1637,Good To Firm,5,1,Bretton (GB),2,G,126,Paul Eddery,Reg Hollinshead,–,40,5
Class 5,3yo+,2121,Good To Firm,12,2,King Revo (IRE),3,G,162,Mr B Haslam,P C Haslam,73,88,1
Class 5,3yo+,2121,Good To Firm,12,7,Rotuma (IRE),4,G,157,Mr S Dobson,Michael Dods,58,66,2
Class 5,3yo+,2121,Good To Firm,12,5,Kelpie (IRE),4,F,160,Mr S Goswell,Andrew Balding,65,68,3
Class 5,3yo+,2121,Good To Firm,12,13,Protocol I (IRE),9,G,131,Owyn Nelmes,Mrs S Lamyman,34,33,4
Class 5,3yo+,2121,Good To Firm,12,10,Great View (IRE),4,G,149,Mr J J Best,Anabel K Murphy,52,50,5
Class 5,3yo+,2121,Good To Firm,12,9,Red Forest (IRE),4,G,147,Mr Stephen Harrison,John Mackie,52,49,6
Class 5,3yo+,2121,Good To Firm,12,4,Merdiff (GB),4,G,160,Mr C Davies,Mark Brisbourne,65,59,7
Class 5,3yo+,2121,Good To Firm,12,1,Giunchiglio (GB),4,G,165,Mr Tom Greenway,Peter Makin,66,50,8
Class 5,3yo+,2121,Good To Firm,12,6,The Fairy Flag (IRE),5,M,162,Mr Simon Walker,Alan Bailey,60,38,9
Class 5,3yo+,2121,Good To Firm,12,11,Paradise Garden I (USA),6,G,131,Mr P Collington,Patrick Clinton,34,4,10
Class 5,3yo+,2121,Good To Firm,12,12,Mr Chestnut Tree (GB),4,G,138,Mr D McCubbin,Muriel Naughton,43,6,11
Class 5,3yo+,2121,Good To Firm,12,3,Making Waves (IRE),4,F,167,Mr G Arizkorreta,Geraldine Rees,65,–,12
Class 1,3yo+,1207,Good To Soft,10,9,Somnus (GB),3,G,124,Ted Durcan,Tim Easterby,114,123,1
Class 1,3yo+,1207,Good To Soft,10,8,Oasis Dream (GB),3,C,124,Richard Hughes,John Gosden,125,120,2
Class 1,3yo+,1207,Good To Soft,10,10,Airwave (GB),3,F,121,Dane ONeill,Henry Candy,119,114,3
Class 1,3yo+,1207,Good To Soft,10,4,Steenberg (IRE),4,G,126,Seb Sanders,Mark H Tompkins,100,112,4
Class 1,3yo+,1207,Good To Soft,10,2,Fayr Jag (IRE),4,G,126,Willie Supple,Tim Easterby,110,107,5
Class 1,3yo+,1207,Good To Soft,10,6,The Tatling (IRE),6,G,126,Kevin Darley,Milton Bradley,109,106,6
Class 1,3yo+,1207,Good To Soft,10,7,Twilight Blues (IRE),4,C,126,Eddie Ahern,Brian Meehan,117,101,7
Class 1,3yo+,1207,Good To Soft,10,3,Orientor (GB),5,H,126,Paul Hanagan,Jim Goldie,112,98,8
Class 1,3yo+,1207,Good To Soft,10,5,Swedish Shave (FR),5,H,126,Thierry Jarnet,Richard Gibson,–,91,9
Class 1,3yo+,1207,Good To Soft,10,1,Continent (GB),6,G,126,K Dalgleish,David Nicholls,115,10,10
Class 3,2yo,1637,Good To Firm,10,9,Baileys Dancer (GB),2,F,122,Joe Fanning,Mark Johnston,76,85,1
Class 3,2yo,1637,Good To Firm,10,6,Kelucia (IRE),2,F,125,Willie Supple,Jim Goldie,79,82,2
Class 3,2yo,1637,Good To Firm,10,10,Fanling Lady (GB),2,F,118,Thierry Jarnet,Alan Jarvis,72,75,3
Class 3,2yo,1637,Good To Firm,10,1,Billy Allen (IRE),2,C,133,Dane ONeill,Richard Hannon Snr,87,84,4
Class 3,2yo,1637,Good To Firm,10,2,Sioux River (GB),2,F,131,Robert Winston,Brian Meehan,85,74,5
Class 3,2yo,1637,Good To Firm,10,4,Top Spec (IRE),2,C,128,Richard Hughes,Richard Hannon Snr,82,62,6
Class 3,2yo,1637,Good To Firm,10,7,Papeete (GER),2,F,124,Paul Hanagan,William Haggas,78,56,7
Class 3,2yo,1637,Good To Firm,10,11,Ace Coming (GB),2,G,117,Paul Fessey,D Eddy,71,38,8
Class 3,2yo,1637,Good To Firm,10,5,Arfinnit (IRE),2,G,128,Ted Durcan,Mick Channon,82,46,9
Class 3,2yo,1637,Good To Firm,10,3,Times Review (USA),2,C,129,Kevin Darley,Tim Easterby,83,45,10
Class 3,3yo+,2816,Good To Firm,19,20,The Persuader (IRE),3,C,114,Joe Fanning,Mark Johnston,75,86,1
Class 3,3yo+,2816,Good To Firm,19,12,Star Member (IRE),4,G,126,Thierry Jarnet,Alan Jarvis,76,86,2
Class 3,3yo+,2816,Good To Firm,19,6,Spectrometer (GB),6,G,134,K Dalgleish,Mark Johnston,84,93,3
Class 3,3yo+,2816,Good To Firm,19,4,Royal Cavalier (GB),6,G,137,John Carroll,Reg Hollinshead,87,96,4
Class 3,3yo+,2816,Good To Firm,19,2,Random Quest (GB),5,G,140,Kevin Darley,Paul Cole,90,97,5
Class 3,3yo+,2816,Good To Firm,19,7,Ravenglass (USA),4,C,134,Adrian Nicholls,John OShea,84,85,6
Class 3,3yo+,2816,Good To Firm,19,19,Constantine I (GB),3,G,115,Liam Keniry,Jim Goldie,79,79,7
Class 3,3yo+,2816,Good To Firm,19,5,Prairie Falcon (IRE),9,G,135,Eddie Ahern,B W Hills,85,85,8
Class 3,3yo+,2816,Good To Firm,19,9,Duke Of Earl (IRE),4,G,131,Dane ONeill,Sylvester Kirk,81,77,9
Class 3,3yo+,2816,Good To Firm,19,14,Tiyoun (IRE),5,G,124,Robert Winston,Jedd OKeeffe,74,47,10
Class 3,3yo+,2816,Good To Firm,19,11,Ezz Elkheil (GB),4,G,128,Simon Whitworth,J W Payne,78,48,11
Class 3,3yo+,2816,Good To Firm,19,15,Jack Dawson (IRE),6,G,123,Brett Doyle,John Berry,73,39,12
Class 3,3yo+,2816,Good To Firm,19,8,Thewhirlingdervish (IRE),5,G,131,Willie Supple,Tim Easterby,81,47,13
Class 3,3yo+,2816,Good To Firm,19,13,Mr Ed (IRE),5,G,126,Steve Carson,Peter Bowen,76,40,14
Class 3,3yo+,2816,Good To Firm,19,17,Indian Solitaire (IRE),4,G,123,Paul Hanagan,Richard Fahey,73,35,15
Class 3,3yo+,2816,Good To Firm,19,16,Clarinch Claymore (GB),7,G,123,Darren Williams,Malcolm Jefferson,73,34,16
Class 3,3yo+,2816,Good To Firm,19,3,Sergeant Cecil (GB),4,G,139,Richard Hughes,Rod Millman,89,39,17
Class 3,3yo+,2816,Good To Firm,19,10,Mac (GB),3,G,129,Seb Sanders,Marcus Tregoning,90,–,18
Class 3,3yo+,2816,Good To Firm,19,1,Stage By Stage (USA),4,G,140,Ted Durcan,Charles Egerton,90,–,19
Class 4,2yo,1207,Good To Soft,8,2,Free Trip (GB),2,C,126,Richard Hughes,John Gosden,–,69,1
Class 4,2yo,1207,Good To Soft,8,9,Tregarron (GB),2,C,126,Dane ONeill,Richard Hannon Snr,68,68,2
Class 4,2yo,1207,Good To Soft,8,7,Pedrillo (GB),2,G,126,Seb Sanders,Sir Mark Prescott Bt,–,63,3
Class 4,2yo,1207,Good To Soft,8,8,Rydal (USA),2,C,126,Eddie Ahern,Gerard Butler,–,57,4
Class 4,2yo,1207,Good To Soft,8,6,Munaahej (IRE),2,C,126,Willie Supple,B W Hills,–,55,5
Class 4,2yo,1207,Good To Soft,8,3,Ground Command (USA),2,C,126,Kevin Darley,Charles Egerton,–,43,6
Class 4,2yo,1207,Good To Soft,8,4,Indian Call (GB),2,C,126,S Righton,B A McMahon,–,38,7
Class 4,2yo,1207,Good To Soft,8,1,Blue Power I (IRE),2,C,126,Darren Williams,K R Burke,–,37,8
Class 1,3yo+,1637,Good To Soft,5,1,Gateman (GB),6,G,133,K Dalgleish,Mark Johnston,116,117,1
Class 1,3yo+,1637,Good To Soft,5,3,Pentecost (GB),4,G,128,Liam Keniry,Andrew Balding,99,107,2
Class 1,3yo+,1637,Good To Soft,5,2,Attache (GB),5,G,128,Matthew Henry,Michael Jarvis,107,92,3
Class 1,3yo+,1637,Good To Soft,5,5,Checkit (IRE),3,C,123,Ted Durcan,Mick Channon,105,89,4
Class 1,3yo+,1637,Good To Soft,5,6,Three Graces (GER),3,C,123,Richard Hughes,Marcus Tregoning,93,83,5
Class 2,3yo,2121,Good To Soft,5,4,Fabulous Jet (FR),3,G,122,Ted Durcan,Mick Channon,87,96,1
Class 2,3yo,2121,Good To Soft,5,2,Tizzy May (FR),3,C,131,Dane ONeill,Richard Hannon Snr,96,102,2
Class 2,3yo,2121,Good To Soft,5,1,El Coto (GB),3,C,133,Willie Supple,B A McMahon,98,103,3
Class 2,3yo,2121,Good To Soft,5,5,Celtic Truth (USA),3,F,121,Richard Hughes,Roger Charlton,86,87,4
Class 2,3yo,2121,Good To Soft,5,3,Camille Pissarro (USA),3,G,128,Kevin Darley,Paul Cole,93,94,5
Class 3,3yo+,1006,Good To Soft,15,14,Blackheath (IRE),7,G,121,Joe Fanning,David Nicholls,76,91,1
Class 3,3yo+,1006,Good To Soft,15,10,Viewforth (GB),5,G,124,Robert Winston,Ian Semple,79,91,2
Class 3,3yo+,1006,Good To Soft,15,6,Sierra Vista (GB),3,F,128,Richard Hughes,D W Barker,84,90,3
Class 3,3yo+,1006,Good To Soft,15,9,Now Look Here (GB),7,G,126,Simon Whitworth,B A McMahon,81,84,4
Class 3,3yo+,1006,Good To Soft,15,13,Maktavish (GB),4,C,121,Darren Williams,Ian Semple,76,78,5
Class 3,3yo+,1006,Good To Soft,15,1,Henry Hall (IRE),7,H,138,Kim Tinkler,Nigel Tinkler,93,93,6
Class 3,3yo+,1006,Good To Soft,15,17,Blues Princess (GB),3,F,111,Paul Hanagan,Richard Fahey,67,62,7
Class 3,3yo+,1006,Good To Soft,15,4,Tesio (GB),5,G,133,Dane ONeill,Philip Hobbs,88,82,8
Class 3,3yo+,1006,Good To Soft,15,5,The Fisio (GB),3,G,126,Liam Keniry,Andrew Balding,85,77,9
Class 3,3yo+,1006,Good To Soft,15,8,Whistler (GB),6,G,127,Paul Fitzsimons,Milton Bradley,82,73,10
Class 3,3yo+,1006,Good To Soft,15,12,Compton Banker (IRE),6,G,122,Eddie Ahern,Gerard Butler,77,66,11
Class 3,3yo+,1006,Good To Soft,15,2,Salviati (USA),6,G,138,Kevin Darley,Milton Bradley,93,77,12
Class 3,3yo+,1006,Good To Soft,15,16,Ballybunion (IRE),4,G,114,Adrian Nicholls,David Nicholls,69,41,13
Class 3,3yo+,1006,Good To Soft,15,15,Summer Lightning (IRE),3,F,120,Seb Sanders,Ralph Beckett,76,44,14
Class 3,3yo+,1006,Good To Soft,15,18,Kings Ballet (USA),5,G,110,Adrian McCarthy,Jim Goldie,65,27,15
Class 5,3yo+,2373,Soft,20,13,Sudden Flight (IRE),6,G,130,Nigel Day,Roger Ingram,60,76,1
Class 5,3yo+,2373,Soft,20,12,My Line (GB),6,G,130,Tony Culhane,Mrs M Reveley,60,69,2
Class 5,3yo+,2373,Soft,20,1,Aleron (IRE),5,H,135,Tom Eaves,John Quinn,70,79,3
Class 5,3yo+,2373,Soft,20,11,Alfano (IRE),5,G,130,Shane Kelly,E L James,60,68,4
Class 5,3yo+,2373,Soft,20,2,Glory Quest (USA),6,G,137,Lee Enstone,Gay Kelleway,70,77,5
Class 5,3yo+,2373,Soft,20,10,Ducs Dream (GB),5,G,128,Derek McGaffin,Dave Morris,61,68,6
Class 5,3yo+,2373,Soft,20,17,Colway Ritz (GB),9,G,127,Willie Supple,Wilf Storey,57,61,7
Class 5,3yo+,2373,Soft,20,20,Maystock (GB),3,F,127,Eddie Ahern,Gerard Butler,65,66,8
Class 5,3yo+,2373,Soft,20,14,Dalblair (IRE),4,G,130,Franny Norton,Jeremy Glover,60,59,9
Class 5,3yo+,2373,Soft,20,6,Middlethorpe (GB),6,G,134,Dale Gibson,Michael Easterby,64,63,10
Class 5,3yo+,2373,Soft,20,4,Sundays Well (IRE),4,F,137,Steve Drowne,N A Gaselee,67,53,11
Class 5,3yo+,2373,Soft,20,8,Anchorsholme (GB),3,G,132,Kevin Darley,John Dunlop,70,49,12
Class 5,3yo+,2373,Soft,20,16,Millennium Hall (GB),4,G,128,Royston Ffrench,P Monteith,58,36,13
Class 5,3yo+,2373,Soft,20,7,Johnsons Point (GB),5,M,127,Paul Mulrennan,Michael Easterby,62,26,14
Class 5,3yo+,2373,Soft,20,15,Zamat (GB),7,G,129,John Carroll,P Monteith,59,18,15
Class 5,3yo+,2373,Soft,20,3,Kebreya (USA),4,G,133,James Davies,Richard Ford,68,24,16
Class 5,3yo+,2373,Soft,20,19,Colourful Lady (USA),3,F,127,Neil Callan,P W Harris,65,19,17
Class 5,3yo+,2373,Soft,20,5,Perfect Punch (GB),4,G,134,Seb Sanders,Chris Wall,64,15,18
Class 5,3yo+,2373,Soft,20,18,Cantoris (GB),3,C,127,Joe Fanning,Mark Johnston,65,9,19
Class 5,3yo+,2373,Soft,20,9,Christmas Truce (IRE),4,G,132,Jamie Spencer,Ian Williams,62,–,20
Class 4,2yo,1207,Soft,11,3,Chanterelle (IRE),2,F,123,Kevin Darley,John Dunlop,–,83,1
Class 4,2yo,1207,Soft,11,9,First Candlelight (GB),2,F,119,Eddie Ahern,James Given,–,78,2
Class 4,2yo,1207,Soft,11,8,Fiddle Me Blue (GB),2,F,119,Steve Drowne,Hughie Morrison,–,73,3
Class 4,2yo,1207,Soft,11,4,Keepers Lodge (IRE),2,F,123,Willie Supple,B A McMahon,75,67,4
Class 4,2yo,1207,Soft,11,11,Queens Echo (GB),2,F,119,Shane Kelly,Michael Dods,–,52,5
Class 4,2yo,1207,Soft,11,12,Shadowy (GB),2,F,119,Steve Carson,R F Johnson Houghton,–,35,6
Class 4,2yo,1207,Soft,11,10,Keltic Rainbow (IRE),2,F,119,Paul Eddery,Derek Haydn Jones,–,34,7
Class 4,2yo,1207,Soft,11,1,Aggi Mac (GB),2,F,116,Suzzanne France,Neville Bycroft,49,37,8
Class 4,2yo,1207,Soft,11,6,Buon Amici (GB),2,F,119,Darren Williams,K R Burke,–,28,9
Class 4,2yo,1207,Soft,11,2,Carla Moon (GB),2,F,123,George Baker,Chris Wall,–,28,10
Class 4,2yo,1207,Soft,11,7,Eugenie (GB),2,F,119,John Carroll,Richard Hannon Snr,–,–,11
Class 4,2yo,1207,Soft,15,12,Rules For Jokers (IRE),2,G,115,Joe Fanning,Jamie Osborne,66,71,1
Class 4,2yo,1207,Soft,15,8,Dark Day Blues (IRE),2,C,119,Steve Drowne,Richard Hannon Snr,70,71,2
Class 4,2yo,1207,Soft,15,3,Weet A Head (IRE),2,C,130,Tony Culhane,Reg Hollinshead,81,82,3
Class 4,2yo,1207,Soft,15,2,Savitsky (USA),2,C,131,P J Scallan,N A Callaghan,82,81,4
Class 4,2yo,1207,Soft,15,4,Night Pearl (IRE),2,F,124,Eddie Ahern,Gerard Butler,75,69,5
Class 4,2yo,1207,Soft,15,9,Tregarron (GB),2,C,118,John Carroll,Richard Hannon Snr,69,56,6
Class 4,2yo,1207,Soft,15,6,Four Amigos (USA),2,C,122,Kevin Darley,James Given,73,59,7
Class 4,2yo,1207,Soft,15,5,Jadan (IRE),2,G,123,Willie Supple,Eric Alston,74,54,8
Class 4,2yo,1207,Soft,15,11,United Union (IRE),2,G,117,Paul Eddery,Derek Haydn Jones,68,46,9
Class 4,2yo,1207,Soft,15,16,Willjojo (GB),2,F,110,John McAuley,Richard Fahey,61,37,10
Class 4,2yo,1207,Soft,15,1,Trick Cyclist (GB),2,C,126,Travis Block,Andrew Balding,84,57,11
Class 4,2yo,1207,Soft,15,14,Polar Galaxy (GB),2,F,110,Joanna Badger,Chris Fairhurst,61,17,12
Class 4,2yo,1207,Soft,15,15,Dress Pearl (GB),2,F,112,Franny Norton,Alan Berry,63,16,13
Class 4,2yo,1207,Soft,15,7,Shamrock Tea (GB),2,C,119,Royston Ffrench,Mike Sowersby,70,12,14
Class 4,2yo,1207,Soft,15,13,Golden Remedy (GB),2,F,114,Dale Gibson,D W Barker,65,–,15
Class 4,2yo,1207,Soft,13,10,The Jobber (IRE),2,G,123,Franny Norton,Michael Blanshard,–,67,1
Class 4,2yo,1207,Soft,13,13,Tropical Storm (IRE),2,G,123,Kevin Darley,Jeremy Noseda,–,67,2
Class 4,2yo,1207,Soft,13,8,Lupine Howl (GB),2,G,116,Richard Hodson,B A McMahon,61,62,3
Class 4,2yo,1207,Soft,13,5,Indian Call (GB),2,C,123,Graham Gibbons,B A McMahon,–,60,4
Class 4,2yo,1207,Soft,13,12,Trench Coat (USA),2,C,123,Eddie Ahern,Andrew Balding,–,52,5
Class 4,2yo,1207,Soft,13,7,Lord Of The Sea (IRE),2,C,123,Steve Carson,R F Johnson Houghton,–,45,6
Class 4,2yo,1207,Soft,13,1,Ask The Driver (GB),2,G,123,P J Scallan,Dominic Ffrench Davis,–,44,7
Class 4,2yo,1207,Soft,13,6,Indian Rum (GB),2,C,118,Paul Mulrennan,Michael Easterby,–,38,8
Class 4,2yo,1207,Soft,13,3,Brown Dragon (GB),2,G,123,Paul Eddery,Derek Haydn Jones,–,20,9
Class 4,2yo,1207,Soft,13,4,Growler (GB),2,C,123,Willie Supple,John Dunlop,–,13,10
Class 4,2yo,1207,Soft,13,9,Suitcase Murphy (IRE),2,G,123,Tony Culhane,Ms Deborah J Evans,–,–,11
Class 4,2yo,1207,Soft,13,11,Tomokim (IRE),2,C,123,Steve Drowne,Mick Quinn,–,–,12
Class 4,2yo,1207,Soft,13,2,Blueberry Jim (GB),2,G,123,Joe Fanning,Terry Caldwell,43,–,13
Class 3,3yo,2121,Soft,10,1,Fabulous Jet (FR),3,G,133,Tony Culhane,Mick Channon,90,101,1
Class 3,3yo,2121,Soft,10,4,Coat Of Honour (USA),3,G,130,Seb Sanders,Sir Mark Prescott Bt,87,97,2
Class 3,3yo,2121,Soft,10,10,Golano (GB),3,G,123,Kevin Darley,Chris Wall,80,83,3
Class 3,3yo,2121,Soft,10,2,Rocket Ship (IRE),3,G,133,Steve Drowne,Roger Charlton,90,91,4
Class 3,3yo,2121,Soft,10,5,Kentucky Blue (IRE),3,G,129,Eddie Ahern,Tim Easterby,86,85,5
Class 3,3yo,2121,Soft,10,7,Backwell (USA),3,G,126,Neil Callan,Michael Jarvis,83,79,6
Class 3,3yo,2121,Soft,10,6,Claradotnet (GB),3,F,126,Paul Eddery,Sir Henry Cecil,83,76,7
Class 3,3yo,2121,Soft,10,8,Allied Victory (USA),3,C,121,Derek McGaffin,Eric Alston,81,73,8
Class 3,3yo,2121,Soft,10,3,Majhud (IRE),3,F,130,Willie Supple,John Dunlop,87,63,9
Class 3,3yo,2121,Soft,10,9,Kirk Wynd (GB),3,F,124,Fergal Lynch,Sir Michael Stoute,81,29,10
Class 4,3yo+,1637,Soft,18,14,Sarraaf (IRE),7,G,121,Steve Drowne,Ian Semple,65,74,1
Class 4,3yo+,1637,Soft,18,2,Cadeaux Des Mages (GB),3,G,134,Tony Culhane,James Given,82,90,2
Class 4,3yo+,1637,Soft,18,1,Ace Of Hearts (GB),4,G,140,Seb Sanders,Chris Wall,84,91,3
Class 4,3yo+,1637,Soft,18,6,Hov (GB),3,G,124,Luke Fletcher,John Quinn,75,81,4
Class 4,3yo+,1637,Soft,18,7,Gryngolette (GB),3,F,127,Eddie Ahern,Gerard Butler,75,79,5
Class 4,3yo+,1637,Soft,18,3,Soller Bay (GB),6,G,133,Darren Williams,K R Burke,77,77,6
Class 4,3yo+,1637,Soft,18,13,Feather Boa (IRE),3,F,122,Franny Norton,Michael Blanshard,70,69,7
Class 4,3yo+,1637,Soft,18,4,Top Dirham (GB),5,G,130,Dale Gibson,Michael Easterby,74,72,8
Class 4,3yo+,1637,Soft,18,8,Parting Shot (GB),5,G,126,Willie Supple,Tim Easterby,70,67,9
Class 4,3yo+,1637,Soft,18,9,Lucky Leo (GB),3,G,125,Royston Ffrench,Ian Williams,73,67,10
Class 4,3yo+,1637,Soft,18,17,Fair Spin (GB),3,G,117,Lee Enstone,Micky Hammond,68,62,11
Class 4,3yo+,1637,Soft,18,15,Explode (GB),6,G,121,George Baker,Lynn Siddall,65,58,12
Class 4,3yo+,1637,Soft,18,16,Whittle Warrior (GB),3,G,120,Graham Gibbons,Chris Fairhurst,68,58,13
Class 4,3yo+,1637,Soft,18,12,Queen Charlotte (IRE),4,F,124,Joe Fanning,Kate Walton,68,57,14
Class 4,3yo+,1637,Soft,18,18,Zafarshah (IRE),4,G,118,Neil Callan,David Evans,62,47,15
Class 4,3yo+,1637,Soft,18,5,Red To Violet (GB),4,F,129,Kevin Darley,Jeremy Glover,73,28,16
Class 4,3yo+,1637,Soft,18,10,Liberty Seeker (FR),4,G,125,Jamie Spencer,Alan Swinbank,69,22,17
Class 4,3yo+,1637,Soft,18,11,Bad Intentions (IRE),3,F,125,John Carroll,Geoffrey Harker,73,–,18
Class 4,3yo,1637,Soft,10,10,Radiant Energy (IRE),3,F,121,Willie Supple,John Gosden,73,70,1
Class 4,3yo,1637,Soft,10,1,Baltic Blazer (IRE),3,C,126,Steve Drowne,P W Harris,–,74,2
Class 4,3yo,1637,Soft,10,7,Slalom (IRE),3,G,126,Seb Sanders,Gay Kelleway,–,74,3
Class 4,3yo,1637,Soft,10,6,Silent Thunder (GB),3,G,126,Shane Kelly,Jeremy Noseda,–,62,4
Class 4,3yo,1637,Soft,10,8,Tipu Sultan (GB),3,C,126,Kevin Darley,Ed Dunlop,–,61,5
