class,age_band,dist_m,going,ran,num,horse,age,sex,lbs,jockey,trainer,or,rpr,pos
Class 5,3yo+,2373,Good,14,7,Kuantan Two (IRE),3,G,125,Paul Hanagan,Paul Cole,–,44,9
Class 5,3yo+,2373,Good,14,10,Ocean Club (GB),3,G,125,Michael Hills,B W Hills,–,32,10
Class 5,3yo+,2373,Good,14,12,Tobermory Boy (GB),3,G,125,Paul Mulrennan,James Given,–,–,11
Class 5,3yo+,2373,Good,14,4,Pergamon (IRE),4,G,137,Robert L Butler,Claire Dyson,78,–,12
Class 5,3yo+,2373,Good,14,17,Roxy Spirit (IRE),3,F,113,Joseph Young,Michael Mullineaux,–,–,13
Class 5,3yo+,2373,Good,14,16,Hannah Hawk (GB),3,F,120,Andrew Elliott,Lucinda Featherstone,–,–,14
Class 5,2yo,1207,Good To Soft,8,7,Sweetie Time (GB),2,F,126,Steve Drowne,Michael Bell,–,85,1
Class 5,2yo,1207,Good To Soft,8,6,Khor Sheed (GB),2,F,126,Kirsty Milczarek,Luca Cumani,–,74,2
Class 5,2yo,1207,Good To Soft,8,2,Galloping Queen (IRE),2,F,126,Alan Munro,Mick Channon,–,74,3
Class 5,2yo,1207,Good To Soft,8,8,Wafeira (GB),2,F,126,Tom Queally,Sir Henry Cecil,–,71,4
Class 5,2yo,1207,Good To Soft,8,9,West Stand (GB),2,F,126,Paul Mulrennan,Kate Walton,–,69,5
Class 5,2yo,1207,Good To Soft,8,1,Bold Bidder (GB),2,F,126,Paul Hanagan,Kevin Ryan,–,59,6
Class 5,2yo,1207,Good To Soft,8,3,Half Truth (IRE),2,F,123,Ahmed Ajtebi,Mahmood Al Zarooni,–,38,7
Class 5,2yo,1207,Good To Soft,8,5,Indian Giver (GB),2,F,126,Paddy Mathers,Tony McWilliams,–,–,8
Class 3,3yo,1207,Good To Soft,7,3,Sunraider (IRE),3,C,129,Michael Hills,B W Hills,89,101,1
Class 3,3yo,1207,Good To Soft,7,4,Little Garcon (USA),3,G,127,Martin Dwyer,Marco Botti,87,92,2
Class 3,3yo,1207,Good To Soft,7,5,Walvis Bay (IRE),3,G,123,Micky Fenton,Tom Tate,83,84,3
Class 3,3yo,1207,Good To Soft,7,1,Below Zero (IRE),3,C,133,Frankie Dettori,Mark Johnston,93,87,4
Class 3,3yo,1207,Good To Soft,7,6,Ginger Ted (IRE),3,G,121,Philip Robinson,Richard Guest,81,55,5
Class 3,3yo,1207,Good To Soft,7,7,Diman Waters (IRE),3,G,121,Ryan Moore,Eric Alston,81,51,6
Class 3,3yo,1207,Good To Soft,7,2,Ghostwing (GB),3,G,131,Robert Winston,John Gallagher,91,48,7
Class 4,3yo,1637,Good To Soft,12,8,Dolphin Rock (GB),3,G,129,Tom Queally,David Barron,75,83,1
Class 4,3yo,1637,Good To Soft,12,13,Pintura (GB),3,G,121,Stevie Donohoe,David Simcock,67,74,2
Class 4,3yo,1637,Good To Soft,12,11,Pentominium (GB),3,C,127,Frankie Dettori,Mark Johnston,73,79,3
Class 4,3yo,1637,Good To Soft,12,6,Spoken (GB),3,G,131,Steve Drowne,Roger Charlton,77,82,4
Class 4,3yo,1637,Good To Soft,12,4,William Morgan (IRE),3,G,132,Paul Hanagan,Richard Fahey,78,80,5
Class 4,3yo,1637,Good To Soft,12,3,Bin Shamardal (IRE),3,C,132,Michael Hills,B W Hills,78,79,6
Class 4,3yo,1637,Good To Soft,12,15,Edition (GB),3,C,121,Robert Havlin,Jeremy Gask,67,58,7
Class 4,3yo,1637,Good To Soft,12,5,Cono Zur (FR),3,C,132,Royston Ffrench,Mark Johnston,78,53,8
Class 4,3yo,1637,Good To Soft,12,2,Towbaat (GB),3,F,132,Philip Robinson,Michael Jarvis,78,45,9
Class 4,3yo,1637,Good To Soft,12,9,Jupiter Fidius (GB),3,G,128,Paul Mulrennan,Kate Walton,74,40,10
Class 4,3yo,1637,Good To Soft,12,12,Golden Tiger (GB),3,G,122,Micky Fenton,Tom Tate,68,20,11
Class 4,3yo,1637,Good To Soft,12,7,Irish Eyes (GB),3,G,124,Patrick Donaghy,Jedd OKeeffe,75,–,12
Class 5,4yo+,1637,Good To Soft,13,9,Tanforan (GB),8,G,120,Steve Drowne,Brian Baugh,57,69,1
Class 5,4yo+,1637,Good To Soft,13,4,Flying Silks (IRE),4,G,127,Robert Havlin,Jeremy Gask,64,76,2
Class 5,4yo+,1637,Good To Soft,13,8,Just Timmy Marcus (GB),4,G,121,Robert Winston,Brian Baugh,58,61,3
Class 5,4yo+,1637,Good To Soft,13,1,Bold Marc (IRE),8,G,133,Andrew Elliott,John Weymes,70,67,4
Class 5,4yo+,1637,Good To Soft,13,7,Morocchius (USA),5,G,123,Royston Ffrench,Julie Camacho,60,52,5
Class 5,4yo+,1637,Good To Soft,13,13,Champain Sands (IRE),11,G,118,Alan Munro,Eric Alston,55,40,6
Class 5,4yo+,1637,Good To Soft,13,3,Lord Fidelio (IRE),4,G,131,James Doyle,David Evans,68,50,7
Class 5,4yo+,1637,Good To Soft,13,10,Boo (GB),8,G,119,Martin Dwyer,James Unett,56,37,8
Class 5,4yo+,1637,Good To Soft,13,11,Lady Bluesky (GB),7,M,113,Patrick Donaghy,Alistair Whillans,55,35,9
Class 5,4yo+,1637,Good To Soft,13,5,Eastern Hills (GB),5,G,119,Lance Betts,John Wainwright,61,37,10
Class 5,4yo+,1637,Good To Soft,13,6,Funky Munky (GB),5,G,124,Micky Fenton,Alistair Whillans,61,33,11
Class 5,4yo+,1637,Good To Soft,13,12,Forzarzi (IRE),6,G,118,Paddy Mathers,Tony McWilliams,55,16,12
Class 5,4yo+,1637,Good To Soft,13,2,Lujano (GB),5,G,132,Ryan Moore,Ollie Pears,69,14,13
Class 4,4yo+,2103,Good To Soft,12,6,Itlaaq (GB),4,G,131,Richard Hills,John Dunlop,83,96,1
Class 4,4yo+,2103,Good To Soft,12,12,Satwa Moon (USA),4,C,125,Frankie Dettori,Ed Dunlop,77,89,2
Class 4,4yo+,2103,Good To Soft,12,14,The Galloping Shoe (GB),5,G,120,Steve Drowne,Alistair Whillans,72,83,3
Class 4,4yo+,2103,Good To Soft,12,5,Plymouth Rock I (IRE),4,G,131,Ryan Moore,Jeremy Noseda,83,89,4
Class 4,4yo+,2103,Good To Soft,12,7,Magic Echo (GB),6,M,131,James Doyle,Michael Dods,83,86,5
Class 4,4yo+,2103,Good To Soft,12,9,Sanctuary (GB),4,G,129,Tom Queally,Bryan Smart,81,81,6
Class 4,4yo+,2103,Good To Soft,12,10,Putra One (IRE),4,G,129,Philip Robinson,Michael Jarvis,81,68,7
Class 4,4yo+,2103,Good To Soft,12,2,Prince Of Johanne (IRE),4,G,133,Micky Fenton,Tom Tate,85,63,8
Class 4,4yo+,2103,Good To Soft,12,1,Moheebb (IRE),6,G,133,Robert Winston,Ruth Carr,85,63,9
Class 4,4yo+,2103,Good To Soft,12,8,Bullet Man (USA),5,G,129,Martin Dwyer,Richard Fahey,81,57,10
Class 4,4yo+,2103,Good To Soft,12,3,Royal Defence (IRE),4,G,132,Robert Havlin,Matthew Salaman,84,45,11
Class 4,4yo+,2103,Good To Soft,12,11,Ordoney (IRE),5,G,123,Lance Betts,John Wainwright,80,24,12
Class 5,4yo+,2373,Good To Soft,7,4,Ghufa (IRE),6,G,123,Sophie Silvester,Jeff Pearce,62,73,1
Class 5,4yo+,2373,Good To Soft,7,6,Amir Pasha (UAE),5,G,118,Adam Carter,Micky Hammond,55,64,2
Class 5,4yo+,2373,Good To Soft,7,2,Maslak (IRE),6,G,134,Ryan Clark,Peter Hiatt,68,67,3
Class 5,4yo+,2373,Good To Soft,7,1,Ubi Ace (GB),4,G,131,Luke Strong,Tim Walford,70,69,4
Class 5,4yo+,2373,Good To Soft,7,5,Magnitude (GB),5,G,118,Danny Brock,Brian Baugh,57,54,5
Class 5,4yo+,2373,Good To Soft,7,3,Sumner (IRE),6,G,126,Frank Hayes,Frank Sheridan,65,56,6
Class 5,4yo+,2373,Good To Soft,7,8,Fabled Dancer (IRE),4,G,118,John Cavanagh,Eric Alston,52,16,7
Class 5,2yo,1207,Good To Soft,9,1,Al Aasifh (IRE),2,C,126,Frankie Dettori,Saeed bin Suroor,–,93,1
Class 5,2yo,1207,Good To Soft,9,4,Falkland Flyer (IRE),2,C,126,Alan Munro,Mick Channon,–,70,2
Class 5,2yo,1207,Good To Soft,9,6,Fred Willetts (IRE),2,G,123,Andrew Heffernan,David Evans,–,64,3
Class 5,2yo,1207,Good To Soft,9,7,Indian Ballad (IRE),2,G,126,Graham Gibbons,Ed McMahon,–,60,4
Class 5,2yo,1207,Good To Soft,9,9,Red Marling (IRE),2,C,126,Paul Eddery,B W Hills,–,57,5
Class 5,2yo,1207,Good To Soft,9,2,Cotton Spirit (GB),2,G,126,Paul Hanagan,Richard Fahey,–,48,6
Class 5,2yo,1207,Good To Soft,9,3,Elusivity (IRE),2,C,126,Pat Dobbs,Richard Hannon Snr,–,47,7
Class 5,2yo,1207,Good To Soft,9,8,Marster Parkes (GB),2,G,126,Shane Kelly,Eric Alston,–,33,8
Class 5,2yo,1207,Good To Soft,9,10,Save The Bees (GB),2,G,126,P J McDonald,Ian McInnes,–,18,9
Class 4,3yo+,1006,Good,12,1,Lucky Numbers (IRE),4,G,135,James Sullivan,Paul Green,80,91,1
Class 4,3yo+,1006,Good,12,8,Lesleys Choice (GB),4,G,134,Paul Hanagan,Barry Brennan,74,78,2
Class 4,3yo+,1006,Good,12,2,Coleorton Choice (GB),4,C,135,Paul Pickard,Reg Hollinshead,80,84,3
Class 4,3yo+,1006,Good,12,7,Mandurah (IRE),6,G,134,Silvestre De Sousa,Brian Baugh,74,77,4
Class 4,3yo+,1006,Good,12,11,Select Committee (GB),5,G,124,Ian Brennan,John Quinn,69,71,5
Class 4,3yo+,1006,Good,12,15,Garstang (GB),7,G,121,Alan Munro,John Balding,61,63,6
Class 4,3yo+,1006,Good,12,13,Supermassive Muse (IRE),5,G,120,David Kenny,Ed McMahon,67,53,7
Class 4,3yo+,1006,Good,12,10,Bravely (IRE),6,G,129,P J McDonald,Tim Easterby,69,54,8
Class 4,3yo+,1006,Good,12,14,Song Of Parkes (GB),3,F,123,Shane Kelly,Eric Alston,70,49,9
Class 4,3yo+,1006,Good,12,12,Time Medicean (GB),4,G,128,Tony Culhane,Paul Midgley,68,44,10
Class 4,3yo+,1006,Good,12,6,Errigal Lad (GB),5,G,135,Phillip Makin,John Balding,75,46,11
Class 4,3yo+,1006,Good,12,9,Sharp Bullet (IRE),4,G,132,Adam Kirby,Alan Berry,72,30,12
Class 4,3yo,1436,Good,11,1,Victory Ide Say (IRE),3,G,133,Alan Munro,Peter Chapple-Hyam,85,96,1
Class 4,3yo,1436,Good,11,10,Hot Spark (GB),3,C,123,Graham Gibbons,Kevin Ryan,75,82,2
Class 4,3yo,1436,Good,11,2,Fleeting Echo (GB),3,F,130,Pat Dobbs,Richard Hannon Snr,82,82,3
Class 4,3yo,1436,Good,11,4,Saharia (IRE),3,G,130,Shane Kelly,Jeremy Noseda,82,77,4
Class 4,3yo,1436,Good,11,8,Whitechapel (GB),3,G,124,Eddie Ahern,Eric Alston,76,65,5
Class 4,3yo,1436,Good,11,12,Nubar Boy (GB),3,C,117,Andrew Heffernan,David Evans,72,56,6
Class 4,3yo,1436,Good,11,5,Tukitinyasok (IRE),3,G,129,Paul Hanagan,Roger Fisher,81,38,7
Class 4,3yo,1436,Good,11,9,The Hermitage (IRE),3,F,124,Royston Ffrench,Mark Johnston,76,30,8
Class 4,3yo,1436,Good,11,14,Toga Tiger (IRE),3,G,120,Tony Culhane,Paul Midgley,72,23,9
Class 4,3yo,1436,Good,11,13,Lava Lamp (GER),3,G,120,Franny Norton,Geoffrey Harker,72,18,10
Class 4,3yo,1436,Good,11,11,Chardonnay (GB),3,F,121,P J McDonald,Alan Swinbank,73,–,11
Class 4,4yo+,1637,Good,11,1,Ezdeyaad (USA),6,G,133,P J McDonald,Alan Swinbank,85,94,1
Class 4,4yo+,1637,Good,11,6,Happy Anniversary (IRE),4,F,129,Silvestre De Sousa,Deborah Sanderson,81,87,2
Class 4,4yo+,1637,Good,11,2,Keys Of Cyprus (GB),8,G,131,Adrian Nicholls,David Nicholls,83,86,3
Class 4,4yo+,1637,Good,11,3,Play It Sam (GB),4,G,131,Adam Kirby,Walter Swinburn,83,83,4
Class 4,4yo+,1637,Good,11,5,Desert Dreamer (IRE),9,G,124,Richard Evans,David Evans,81,79,5
Class 4,4yo+,1637,Good,11,10,Rio Cobolo (IRE),4,C,115,James Sullivan,Paul Green,72,69,6
Class 4,4yo+,1637,Good,11,11,Full Victory (IRE),8,G,112,Andrew Heffernan,Rodney Farrant,67,63,7
Class 4,4yo+,1637,Good,11,8,Captain Dancer (IRE),4,G,126,Robert Winston,B W Hills,78,67,8
